Threads,Time,Text,Efficiency,Normalized
1,352.892497070313,"T=1, t=352.892s",1,1.16129032258065
2,263.611635009766,"T=2, t=263.612s",1.33868331364524,0.777299988568204
3,247.753394897461,"T=3, t=247.753s",1.42436997570252,0.551369022852587
4,237.192835693359,"T=4, t=237.193s",1.48778733572935,0.431938258760134
5,228.756009643555,"T=5, t=228.756s",1.54265891252512,0.358294973231641
6,224.294934936523,"T=6, t=224.295s",1.57334135597036,0.304517681800714
7,226.572040039063,"T=7, t=226.572s",1.55752888577722,0.2583918888847
8,230.697210449219,"T=8, t=230.697s",1.52967821493443,0.222050063458223
9,233.144016113281,"T=9, t=233.144s",1.51362450966293,0.195306388343604
10,234.851591064453,"T=10, t=234.852s",1.50261914543923,0.174497707212298
11,238.217970947266,"T=11, t=238.218s",1.48138486641897,0.156392537217252
12,245.841506591797,"T=12, t=245.842s",1.43544717880478,0.13891424311014
13,250.803823974609,"T=13, t=250.804s",1.40704591930799,0.125691446886073
14,257.915149414063,"T=14, t=257.915s",1.36825036401321,0.113495421899713
15,284.775471923828,"T=15, t=284.775s",1.23919554829042,0.0959377198676457
16,294.737355102539,"T=16, t=294.737s",1.19731174539292,0.0869016589398084
17,304.426417602539,"T=17, t=304.426s",1.15920457839849,0.0791866505167846
18,309.576686523438,"T=18, t=309.577s",1.13991948500165,0.0735431925807513
19,314.874639526367,"T=19, t=314.875s",1.12073966198463,0.0685002170313186
20,319.838569946289,"T=20, t=319.839s",1.10334565693429,0.0640652316929588
21,326.793552978516,"T=21, t=326.794s",1.07986370555331,0.0597159652840541
22,333.749621826172,"T=22, t=333.750s",1.05735699456196,0.0558135656953529
23,337.845266601563,"T=23, t=337.845s",1.04453882281706,0.0527396881085754
24,345.017080932617,"T=24, t=345.017s",1.02282616303056,0.0494915885337367
25,350.775981445313,"T=25, t=350.776s",1.00603381000113,0.0467318931097298
26,358.009568603516,"T=26, t=358.010s",0.985706886122728,0.0440266102982856
27,362.689499023438,"T=27, t=362.689s",0.97298790844647,0.0418489422987729
28,368.213690307617,"T=28, t=368.214s",0.958390484545795,0.039748914105586
29,375.121656494141,"T=29, t=375.122s",0.9407414660311,0.0376715158811119
30,427.14101171875,"T=30, t=427.141s",0.826173294974246,0.0319809017409385
31,390.01362097168,"T=31, t=390.014s",0.904820955204375,0.0338954780305489
32,438.569276123047,"T=32, t=438.569s",0.804644821885114,0.0292008201490566
33,400.805478637695,"T=33, t=400.805s",0.880458266862432,0.03098386862859
34,444.577949584961,"T=34, t=444.578s",0.793769680659506,0.0271116778972886
35,413.698045898438,"T=35, t=413.698s",0.853019492281932,0.0283029508959904
36,460.252822631836,"T=36, t=460.253s",0.766736193060998,0.0247334255826128
37,424.720642578125,"T=37, t=424.721s",0.830881435213971,0.026078231619619
38,471.536235961914,"T=38, t=471.536s",0.748388925721534,0.0228709688675511
39,438.283823486328,"T=39, t=438.284s",0.805168884088008,0.0239752521316529
40,484.974881347656,"T=40, t=484.975s",0.727651081824463,0.0211253539884521
41,452.050968505859,"T=41, t=452.051s",0.780647585463006,0.0221111825937594
42,501.857502685547,"T=42, t=501.858s",0.703172703769316,0.0194425632378613
43,481.824250976563,"T=43, t=481.824s",0.732409164451704,0.0197799924383056
44,533.990634399414,"T=44, t=533.991s",0.660858963317241,0.0174420254247952
45,496.24103137207,"T=45, t=496.241s",0.711131234139568,0.0183517737842469
46,551.121520507812,"T=46, t=551.122s",0.640317033428765,0.0161650863979211
47,512.715394165039,"T=47, t=512.715s",0.688281454168156,0.0170062679135577
48,564.101822998047,"T=48, t=564.102s",0.62558297577339,0.0151350719945175
49,526.066053100586,"T=49, t=526.066s",0.670814045100223,0.0158981603842054
50,579.186185302735,"T=50, t=579.186s",0.609290252470126,0.0141512574767255
51,540.7125703125,"T=51, t=540.713s",0.652643412499845,0.0148609505692564
52,595.857249511719,"T=52, t=595.857s",0.592243355870041,0.0132262784189339
53,555.884717041016,"T=53, t=555.885s",0.634830363656633,0.0139098558074491
54,611.58921850586,"T=54, t=611.589s",0.577009022383431,0.0124087961802888
55,570.764717285156,"T=55, t=570.765s",0.61828015359612,0.0130545956184518
56,627.876013671875,"T=56, t=627.876s",0.562041691968078,0.0116552424601675
